FMPs,Species,Stock,Assessment Type,Assessment model,Reference point Estimation Approach,Reference point Estimation Method,Recruitment Assumption,"Stock Status (known, unknown)",Biomass Target (SSBMSY) ,Fishing Mortality Threshold (FMSY),MSY,Frebuild,Bcurrent/BMSY,Fcurrent/FMSY,Freq overfished status since 2010,Rebuilding Plan ?,ABC Control Rule,OFL,ABC,Overfished Threshold ,Truncated recruitment timeseries for ABC projections,Comments
Atlantic Sea Scallop,Atlantic Sea Scallop (Placopecten magellanicus),Atlantic Sea Scallop Unit Stock (sep Northern Gulf of Maine management area),Analytical,CASA (catch-at-size-assessment),Analytical,Stochastic Yield Model (SYM),Beverton-Holt,Known,BMSY,FMSY ,MSY,NA,143%,56%,,No,P*,,FABC defined as the 75% probability of remaining below the true FMSY. ,0.5BMSY,,
Atlantic herring,Atlantic herring (Clupea harengus),Atlantic Herring Unit Stock (4 management areas),Analytical,ASAP,Analytical,SSB per recruit ,Autoregressive long-term average; Recruitment stanza used to define BRPs was 1992-2019,Known,SSBF40%,F40%,proxy,,21%,31%,2021-present,Yes (2026),"Biomass Based: When biomass is greater than 0.5 for the ratio of SSB/SSBMSY, the maximum fishing mortality allowed is 80% of FMSY. As biomass declines, fishing mortality declines linearly, and if biomass falls below 0.1 for the ratio of SSB/SSBMSY, then ABC is set to zero, no fishery allocation.",FMSY,,0.5 SSBMSY,,"The rebuilding plan used the full time series of recruitments when defining reference points and proejctions, which makes them more optimistic than the shortened time frame of recruitments and the AR(1) process applied in 2022 assessment. more optimistic (25% chance of rebuilding in 2025) than those done during this assessment."
Monkfish,Monkfish (Lophius americanus),Northern monkfish,Empirical,Ismooth,None,None,None,Unknown,None,Avg expl. rate 1996-2006 (North),None,NA,Unknown,Unknown,,No,Ismooth: BCURRENT x Avg expl. rate,Unknown,"ABC advice is based on applying the ISmooth multipliers to the most recent 3-year average catch to calculate the Annual Catch Targets (ACT) for the Northern and Southern management areas, the ACT is increased by the management uncertainty buffer (3% for monkfish) to calculate ABCs.",,,
Monkfish,Monkfish (Lophius americanus),Southern monkfish,Empirical,Ismooth,None,None,None,Unknown,None,Avg expl. rate 2000-2006 (South),None,NA,Unknown,Unknown,,No,Ismooth: BCURRENT x Avg expl. rate,Unknown,"ABC advice is based on applying the ISmooth multipliers to the most recent 3-year average catch to calculate the Annual Catch Targets (ACT) for the Northern and Southern management areas, the ACT is increased by the management uncertainty buffer (3% for monkfish) to calculate ABCs.",,,
Northeast Multispecies,Atlantic cod (Gadus morhua),Eastern Gulf of Maine cod,Analytical,WHAM,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,TBD,TBD,,NA,"Groundfish ABC Control Rules: (A) 75%FMY; (B) If 75%FMSY does not achieve mandated rebuilding for overfished stocks, Frebuild; (C) If cannot rebuild even under F=0, ABC should be based on incidental bycatch; (D) interim ABCs for stocks with unknown status on case-bycase basis",,TBD,,,
Northeast Multispecies,Atlantic cod (Gadus morhua),Western Gulf of Maine cod,Analytical,WHAM,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,TBD,TBD,,NA,,,TBD,,,
Northeast Multispecies,Atlantic cod (Gadus morhua),Southern New England cod,Analytical,WHAM,Analytical,SSB per recruit ,Beverton-Holt,Known,SSBF40%,F40%,proxy,NA,TBD,TBD,,NA,,,TBD,,,
Northeast Multispecies,Atlantic cod (Gadus morhua),Georges Bank cod,Analytical,WHAM,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,TBD,TBD,,NA,,,TBD,,,
Northeast Multispecies,Haddock (Melanogrammus aeglefinus),Gulf of Maine haddock,Analytical,ASAP,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,66%,55%,,No,,FMSY,90%FMSY (due to emergency action); typically 75%FMSY ,0.5 SSBMSY,,
Northeast Multispecies,Haddock (Melanogrammus aeglefinus),Georges Bank haddock,Analytical,WHAM,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,270%,111%,,No,,FMSY,Option A: 75%FMSY,0.5 SSBMSY,,
